Location,ID,Latitude,Longitude,River,ReachID
South Fork Kings River - Above Boyden Cavern,KGPC1,36.80889,-118.77805,South Fork Kings River,22058767
Kern River - Fairview Dam,KKVC1,35.94528,-118.47667,Kern River,14971709
Kaweah River - Three Rivers,KTRC1,36.44389,-118.90444,Kaweah River,14922321
Lamoille Creek - Lamoille,LCLN2,40.69083,-115.47556,Lamoille Creek,10786444
South Fork Eel River - Leggett,LEGC1,39.87472,-123.71944,South Fork Eel River,8287256
Los Gatos Creek - El Dorado Avenue,LGAC1,36.16694,-120.20889,Los Gatos Creek,17150416
Los Gatos Creek - Coalinga,LGCC1,36.21472,-120.46972,Los Gatos Creek,14883269
Little Humboldt River - Paradise Valley,LHPN2,41.41583,-117.37361,Little Humboldt River,11138998
Santa Ynez River - Los Laureles Canyon,LLYC1,34.54361,-119.86389,Santa Ynez River,17611449
Oregon Creek - Below Log Cabin Dam,LOCC1,39.43944,-121.05806,Oregon Creek,8060553
San Lorenzo Creek - Hayward,LRZC1,37.68556,-122.06333,San Lorenzo Creek,2803983
Laguna De Santa Rosa - Sebastopol,LSEC1,38.42556,-122.82806,Laguna De Santa Rosa,8273691
Little Dry Creek - Friant,LTDC1,36.93444,-119.73,Little Dry Creek,19791931
San Antonio River - Lockwood,LWDC1,35.89667,-121.08722,San Antonio River,8210533
Martin Creek - Paradise Valley,MARN2,41.53333,-117.42778,Martin Creek,11137442
Mad River - Above Ruth Reservoir,MAUC1,40.28444,-123.33417,Mad River,8320019
McDermitt Creek - McDermitt,MDCN2,41.96667,-117.83083,McDermitt Creek,11849049
Middle Fork American River - Foresthill,MFAC1,39.00611,-120.75972,Middle Fork American River,14993649
Middle Fork American River - Above Middle Fork Powerhouse,MFPC1,39.02528,-120.59444,Middle Fork American River,14992983
Sacramento River Delta - Mallard Island,MLIC1,38.04278,-121.92,Sacramento River Delta,948050047
Mill Creek - Los Molinos,MLMC1,40.05472,-122.02306,Mill Creek,8019544
Mill Creek - Piedra,MLPC1,36.81861,-119.34083,Mill Creek,14907219
McCloud River - McCloud,MMCC1,41.18833,-122.06444,McCloud River,7960779
Alameda Creek - Above Diversion Dam,MPTC1,37.4975,-121.7725,Alameda Creek,2809681
Middle Fork Feather River - Merrimac,MRMC1,39.70833,-121.26944,Middle Fork Feather River,8037183
McCloud River - Above Shasta Lake,MSSC1,40.95833,-122.21833,McCloud River,7962651
Mattole River - Petrolia,MTOC1,40.31333,-124.28222,Mattole River,2544433
Middle Creek - Upper Lake,MUPC1,39.18278,-122.91083,Middle Creek,948020931
Murrieta Creek - Temecula,MUTC1,33.47972,-117.14306,Murrieta Creek,22549073
Mark West Creek - Mirabel Heights,MWEC1,38.49417,-122.85222,Mark West Creek,8273161
Santa Ana River - Muni Water Dist Crossing,MWXC1,33.96861,-117.4475,Santa Ana River,22563032
Nacimiento River - Sapaque,NBYC1,35.78861,-121.09278,Nacimiento River,8209949
North Fork American River - North Fork Dam,NFDC1,38.93611,-121.02278,North Fork American River,14994413
North Fork Feather River - East Branch,NFEC1,40.01111,-121.21694,North Fork Feather River,8025256
Alameda Creek - Niles,NILC1,37.58722,-121.95972,Alameda Creek,2806725
Truckee River - Nixon,NIXN2,39.77778,-119.3375,Truckee River,11314309
NF of MF American River - Foresthill,NMFC1,39.02417,-120.7175,NF of MF American River,14993059
Orestimba Creek - Newman,OREC1,37.31556,-121.12417,Orestimba Creek,2827244
Deer Creek - Scott Road,OTTC1,38.55139,-121.10973,Deer Creek,20192438
Middle Fork Yuba River - Below Our House Dam,OURC1,39.41167,-120.99694,Middle Fork Yuba River,8063597
Putah Creek - Guenoc,PCGC1,38.77889,-122.51639,Putah Creek,8015823
Palm Canyon Creek - Palm Springs 5S,PCNC1,33.745,-116.53472,Palm Canyon Creek,22593537
Pacheco Creek - Dunneville,PHOC1,36.98,-121.37917,Pacheco Creek,17663037
San Benito River - Willow Creek,PIIC1,36.60944,-121.20194,San Benito River,17665649
Pit River - Montgomery Creek,PITC1,40.84389,-122.00139,Pit River,7951290
South Fork Pit River - Likely,PLYC1,41.23083,-120.43611,South Fork Pit River,7932193
Panoche Creek - Interstate 5,PNEC1,36.6525,-120.63111,Panoche Creek,19784451
Del Puerto Creek - Patterson,PTTC1,37.48667,-121.20806,Del Puerto Creek,2827982
Cherokee Canal - Richvale,RCVC1,39.465,-121.74194,Cherokee Canal,1682671
Clear Creek - Igo,RDGC1,40.51333,-122.52306,Clear Creek,2495296
Russian River - Hacienda Bridge,RIOC1,38.50861,-122.92667,Russian River,8272725
Stanislaus River - Ripon,RIPC1,37.72972,-121.10944,Stanislaus River,2821830
Maacama Creek - Kellogg,RMKC1,38.64111,-122.76278,Maacama Creek,8272605
Rock Creek - Battle Mountain,ROCN2,40.825,-116.58333,Rock Creek,11192063
Russian River - Highway 1 Bridge near Jenner,RROC1,38.43389,-123.10083,Russian River,8272953
Rubicon River - Foresthill,RUFC1,39.00028,-120.72306,Rubicon River,14993187
Salmon River - Somes Bar,SBRC1,41.37778,-123.47639,Salmon River,8261865
Spanish Creek - Keddie,SCBC1,40.00306,-120.95333,Spanish Creek,8027910
Sycan River - Beatty,SCNO3,42.48611,-121.27778,Sycan River,24084766
Steamboat Creek - Steamboat,SCRN2,39.37778,-119.7425,Steamboat Creek,8935822
Steamboat Creek - Sparks - Cleanwater Way,SCWN2,39.51305,-119.71139,Steamboat Creek,8932212
Salinas River - Soledad,SDDC1,36.41111,-121.31833,Salinas River,948060170
San Francisquito Creek - Stanford University,SFCC1,37.42333,-122.18833,San Francisquito Creek,17693217
South Fork Humboldt River - Above Tenmile Creek - Elko,SFHN2,40.62833,-115.72889,South Fork Humboldt River,10750253
Sagehen Creek - Truckee,SGNC1,39.43167,-120.23694,Sagehen Creek,8933522
San Joaquin River - Mendota,SJMC1,36.81056,-120.37823,San Joaquin River,19784319
Scotts Creek - Lakeport,SKPC1,39.09556,-122.96,Scotts Creek,8006559
South Fork Kern River - Onyx,SKRC1,35.7375,-118.17278,South Fork Kern River,14961097
Salsipuedes Creek - Lompoc,SLUC1,34.58861,-120.4075,Salsipuedes Creek,17609017
Santa Margarita River - Temecula,SMHC1,33.47389,-117.14139,Santa Margarita River,22549075
Arroyo Seco - Soledad,SOLC1,36.28056,-121.32167,Arroyo Seco,8205291
Middle Fork Cosumnes River - Somerset,SOSC1,38.62417,-120.70056,Middle Fork Cosumnes River,20195334
Pilot Creek - Abv Stumpy Meadows Reservoir,SPYC1,38.89472,-120.56722,Pilot Creek,14997987
Santa Ana River - San Bernardino - E Street,SREC1,34.065,-117.29944,Santa Ana River,22557960
Santa Rosa Creek - Santa Rosa,SSAC1,38.43667,-122.72361,Santa Rosa Creek,8273645
Sisquoc River - Sisquoc,SSQC1,34.83972,-120.16722,Sisquoc River,17625379
San Joaquin River - Stevinson,SSTC1,37.29472,-120.85083,San Joaquin River,19771543
Truckee River - Below Derby Dam,TBDN2,39.58472,-119.44028,Truckee River,8931712
Trinity River - Above Coffee Creek,TCCC1,41.11139,-122.70444,Trinity River,8242324
Thomes Creek - Paskenta,TCRC1,39.88861,-122.52139,Thomes Creek,12074976
Temecula River - Aguanga,TEKC1,33.45917,-116.92278,Temecula River,22549471
Tres Pinos Creek - Tres Pinos,TESC1,36.76472,-121.29583,Tres Pinos Creek,17663805
Lake Tahoe - Tahoe City,THLC1,39.18083,-120.11833,Lake Tahoe,8942147
San Timoteo Creek - Loma Linda,TIMC1,34.06361,-117.27194,San Timoteo Creek,22557960
Trinity River - Junction City,TRJC1,40.72861,-123.06083,Trinity River,8244466
Trinity River - Above NF Trinity R Nr Helena,TRNC1,40.76722,-123.11333,Trinity River,8244344
Temescal Creek - Corona - Main Street,TSLC1,33.88917,-117.56194,Temescal Creek,22560716
