Location,ID,Latitude,Longitude,River,ReachID
N Fork Stanislaus River - Diversion Dam,NDVC1,38.43833,-120.01667,N Fork Stanislaus River,342483
Calaveras River - New Hogan Lake,NHGC1,38.155,-120.81389,Calaveras River,17067086
American River - Lake Natoma,NIMC1,38.63667,-121.22333,American River,15022633
Stanislaus River - New Melones Lake,NMSC1,37.95,-120.53694,Stanislaus River,348435
Highland Creek - New Spicer Meadows Reservoir,NSWC1,38.39306,-119.99806,Highland Creek,347603
Feather River - Lake Oroville,ORDC1,39.53306,-121.51694,Feather River,2778598
Middle Fork Yuba River - Below Our House Dam,OURC1,39.41167,-120.99694,Middle Fork Yuba River,8063597
Owens Creek - Owens Reservoir,OWCC1,37.31528,-120.18694,Owens Creek,17099035
Kings River - Pine Flat Lake,PFTC1,36.83194,-119.32361,Kings River,17149780
Eel River - Lake Pillsbury,PLBC1,39.40833,-122.95834,Eel River,8309952
North Fork Feather River - Prattville,PLLC1,40.20917,-121.15694,North Fork Feather River,2773738
Prosser Creek - Prosser Creek Reservoir,PSRC1,39.37944,-120.13667,Prosser Creek,8933720
Piru Creek - Pyramid Lake,PYMC1,34.64472,-118.76305,Piru Creek,17569485
Bear River - Rollins Lake,ROLC1,39.13556,-120.94917,Bear River,15014945
Tule River - Lake Success,SCSC1,36.06111,-118.92194,Tule River,17159700
Stony Creek - Stony Gorge Reservoir,SGEC1,39.58306,-122.53306,Stony Creek,7993025
Sacramento River - Shasta Lake,SHDC1,40.71417,-122.41611,Sacramento River,7966205
San Antonio River - Lake San Antonio,SNRC1,35.79667,-120.88556,San Antonio River,8212925
Deer Creek - Scotts Flat Reservoir,SOVC1,39.27361,-120.93111,Deer Creek,8064719
Santa Ana River - Mentone,SRWC1,34.10834,-117.10059,Santa Ana River,22555926
Stevens Creek - Stevens Creek Reservoir,STDC1,37.29861,-122.07611,Stevens Creek,17693257
Little Truckee River - Stampede Reservoir,STPC1,39.47056,-120.10306,Little Truckee River,8933230
South Fork Yuba River - Lake Spaulding,SUAC1,39.32639,-120.64222,South Fork Yuba River,8064009
Santa Ysabel Creek - Sutherland Reservoir,SUDC1,33.11806,-116.78667,Santa Ysabel Creek,20330934
San Vicente Creek - San Vicente Reservoir,SVIC1,32.91278,-116.92416,San Vicente Creek,20334576
West Fork Mojave River - Silverwood Lake,SVWC1,34.30417,-117.31805,West Fork Mojave River,22660171
Lake Tahoe Inflow - Tahoe Basin,TAHC1,39.16778,-120.14278,Lake Tahoe Inflow,8934094
Kaweah River - Lake Kaweah,TMDC1,36.415,-119.00194,Kaweah River,24774952
West Walker River - Topaz Lake,TPZC1,38.63667,-119.5075,West Walker River,10742456
Cuyama River - Twitchell Dam,TWDC1,34.98361,-120.32083,Cuyama River,17634908
Uvas Creek - Uvas Reservoir,UVRC1,37.06556,-121.6875,Uvas Creek,17662429
Temecula Creek - Vail Lake,VLKC1,33.49556,-116.97583,Temecula Creek,22550583
Clear Creek - Whiskeytown Reservoir,WHSC1,40.59806,-122.53694,Clear Creek,2782763
Dry Creek - Lake Sonoma,WSDC1,38.72306,-123.01,Dry Creek,8270775
