stn,lat,lon,link
WALN2,39.1524611,-119.0988889,10736789
ROLC1,39.13556,-120.94917,15014945
FMDC1,39.11028,-120.43056,14993579
STWN2,39.10768747,-119.7132334,8920583
SKPC1,39.09556,-122.96,8006559
INVC1,39.08,-122.53361,8007863
HLLC1,39.07167,-120.42167,14993709
CFWC1,39.05028,-121.31472,15070264
FBLC1,39.045,-121.61111,7972631
CLKC1,39.0390618,-122.9133292,8007779
TISC1,39.02667,-121.82111,2851585
HOPC1,39.02656314,-123.1305588,8269119
DCWC1,39.02639,-121.43611,15069312
MFPC1,39.02528,-120.59444,14992983
NMFC1,39.02417,-120.7175,14993059
WLKC1,39.01,-121.82361,2851625
MFAC1,39.00611,-120.75972,14993649
RUFC1,39.00028,-120.72306,14993187
BRWC1,39.0001727,-121.4066238,948020363
RBBC1,38.98778,-120.22472,14997045
LNLC1,38.98306,-120.32306,14993085
HCHC1,38.95556,-122.34167,8009213
NFDC1,38.93611,-121.02278,14994413
KCVC1,38.9275,-122.8425,948020963
MASN2,38.91972,-119.18889,946050091
GRCC1,38.90333,-123.60778,2666253
SPYC1,38.89472,-120.56722,14997987
NCOC1,38.89111,-121.60389,7975787
RMSC1,38.89,-122.2372222,15027105
CDLC1,38.87944,-123.0525,8271445
UNVC1,38.86806,-120.44306,14981596
GRDN2,38.84519444,-119.7060833,8922339
BSCC1,38.82611,-122.99583,8271875
SVCC1,38.82389,-120.53833,14981952
ICHC1,38.82389,-120.36,14981972
EWSN2,38.81371389,-119.0479917,946050110
WWHN2,38.80972,-119.22639,10743426
PCGC1,38.77889,-122.51639,8015823
VONC1,38.77434584,-121.5982928,15039097
CBAC1,38.77111,-120.81528,14982644
WOOC1,38.76962765,-119.833789,8924041
FMWC1,38.76694,-121.66694,2858219
AKYC1,38.76389,-120.32833,14982602
HOYN2,38.72806,-119.42778,10742328
YLOC1,38.727126,-121.8071874,15030099
WSDC1,38.72306,-123.01,8270775
CEMC1,38.7146274,-119.7648985,8922715
GEYC1,38.71111,-122.89222,8272107
GSRC1,38.70907868,-123.4266753,8280869
FOLC1,38.7,-121.16694,15022453
DGYC1,38.69861,-122.95695,8272125
TOPN2,38.6932333,-119.5203083,10743558
RMKC1,38.64111,-122.76278,8272605
TPZC1,38.63667,-119.5075,10742456
NIMC1,38.63667,-121.22333,15022633
SOSC1,38.62417,-120.70056,20195334
HEAC1,38.61324316,-122.8363818,8272379
EDOC1,38.58889,-120.84389,20195536
DRIC1,38.58737,-122.86218,8272381
SACC1,38.5865717,-121.505511,15039173
SAMC1,38.56889,-121.4225,948021144
OTTC1,38.55139,-121.10973,20192438
CLEC1,38.51324495,-119.4498872,946050152
LBEC1,38.513,-122.104,8016105
SHEC1,38.51129745,-122.455813,1670127
RIOC1,38.50852336,-122.9277737,8272725
MHBC1,38.50018619,-121.0452212,20192498
GUEC1,38.49935758,-122.9983325,8273703
MWEC1,38.49417,-122.85222,8273161
LSBC1,38.47472,-121.58833,15047747
SACC0,38.4542,-121.4983,15048347
NDVC1,38.43833,-120.01667,342483
SSAC1,38.43667,-122.72361,8273645
RROC1,38.43389,-123.10083,8272953
LSEC1,38.42556,-122.82806,8273691
NSWC1,38.39306,-119.99806,347603
WWBC1,38.3796366,-119.4501649,10744424
APCC1,38.3682457,-122.3033085,1669113
MCNC1,38.3578,-121.34374,3953273
CTIC1,38.35222,-122.74306,8273659
EWBC1,38.3276958,-119.2148759,8915857
BPRC1,38.325,-119.2111111,8915961
CMPC1,38.25694,-120.84972,17058392
THTC1,38.25583,-121.43889,1889500
AVYC1,38.24389,-120.29,344905
RVBC1,38.15972,-121.68639,15048247
NHGC1,38.155,-120.81389,17067086
VNCC1,38.05028,-121.49695,1889732
MSGC1,38.05,-121.01417,2975406
MLIC1,38.04278,-121.92,948050047
MLIC0,38.04278,-121.92,948050047
ATIC1,38.01778,-121.80306,1889652
CHVC1,37.97472,-119.91611,17082185
LNRC1,37.97417,-119.88,17082195
NMSC1,37.95,-120.53694,348435
HETC1,37.94778,-119.78694,17082207
FRGC1,37.915,-120.935,2822872
KNFC1,37.85167,-120.63778,348545
OBBC1,37.78824,-120.7625,2825866
VNSC0,37.78611,-121.30583,1897398
MOSC1,37.78611,-121.30583,1897398
HPIC1,37.73167,-119.55778,21609533
RIPC1,37.72972,-121.10944,2821830
POHC1,37.71687138,-119.6662788,21609641
NDPC1,37.70167,-120.42111,17080371
ALQC1,37.69444444,-121.9194444,2806395
AYMC1,37.69049,-121.87329,2806357
LRZC1,37.68548644,-122.064407,2803983
AMLC1,37.67687,-121.8144,2806391
VNSC1,37.6760406,-121.2663293,1897416
DCMC1,37.65667,-120.92333,2823920
MDSC1,37.627153,-120.9843777,2823972
ADLC1,37.62659915,-121.8830126,2806611
LVKC1,37.62326509,-121.7588418,2808553
DVAC1,37.61389,-121.745,2808647
NILC1,37.58715679,-121.960793,2806725
EXQC1,37.585,-120.26722,21608661
ACSC1,37.5775,-121.8566667,2806745
ANOC1,37.57,-121.84861,2808653
YLEC1,37.56132196,-121.6838389,2806807
DSNC1,37.555,-120.46333,2824270
AWEC1,37.5404908,-121.856345,2806865
ACZC1,37.50361111,-121.8236111,2806979
CAVC1,37.50194444,-121.8183333,2807009
MPTC1,37.4974356,-121.7735644,2809681
PATC1,37.49389,-121.08111,2826944
CVQC1,37.4925,-121.81973,2811075
PTTC1,37.48667,-121.20806,2827982
AHOC1,37.46167,-121.76833,2809859
CRDC1,37.43194,-121.01278,2828042
SFCC1,37.42327257,-122.1894095,17693217
CMIC1,37.42222,-121.92639,17695611
UPCC1,37.39084,-121.8425,17694085
BNCC1,37.37667,-120.275,948040367
GSJC1,37.37389,-121.93194,17694237
STVC1,37.37077046,-120.9304826,2833552
BCKC1,37.36694,-120.21694,19777705
NWMC1,37.3504928,-120.97715,2829226
OREC1,37.31556,-121.12417,2827244
OWCC1,37.31528,-120.18694,17099035
MEEC1,37.30889,-120.44389,19777237
STDC1,37.29861,-122.07611,17693257
SSTC1,37.29472,-120.85083,19771543
MPAC1,37.29194,-120.14694,19777677
GUDC1,37.28083,-121.88,17694255
CYEC1,37.27083,-121.79639,948050176
BHNC1,37.21333,-119.97,17100939
LEXC1,37.20167,-121.98806,17695937
GUAC1,37.19917,-121.87833,17695787
CADC1,37.18333,-121.79111,17695921
CYTC1,37.16833,-121.64861,17694721
ANDC1,37.16556,-121.62833,17695819
ALRC1,37.165,-121.8275,17694737
ELNC1,37.13306,-120.56694,19777743
LESC1,37.1298,-121.9296,17695803
CBRC1,37.11667,-121.69278,17661097
HIDC1,37.10167,-119.88,17100573
COYC1,37.08861,-121.53806,17694841
UVRC1,37.06556,-121.6875,17662429
BTEC1,37.0443931,-122.072464,17682474
FRAC1,36.995,-119.69167,17116483
LBDC1,36.99361,-120.92972,16604219
PHOC1,36.98,-121.37917,17663037
LTDC1,36.93444,-119.73,19791931
AROC1,36.9002307,-121.5977215,17663281
HOSC1,36.85189909,-121.4299368,17663521
PFTC1,36.83194,-119.32361,17149780
MLPC1,36.81861,-119.34083,14907219
SJMC1,36.81056,-120.37823,19784319
KGPC1,36.80889,-118.77805,22058767
GVAC1,36.79778,-120.16,19784325
CHBC1,36.77417,-120.28528,19784539
TESC1,36.76579177,-121.2996532,17663805
PNEC1,36.6525,-120.63111,19784451
JAMC1,36.6525,-120.18028,17136382
SPRC1,36.631071,-121.672446,8200523
PIIC1,36.60940609,-121.2029797,17665649
CHLC1,36.55357267,-121.5493856,8200795
CMEC1,36.5391278,-121.8805084,17599295
RDRC1,36.47440615,-121.7288364,17600477
DLMC1,36.4475,-119.02722,17152974
KTRC1,36.44389,-118.90444,14922321
TMDC1,36.415,-119.00194,24774952
SDDC1,36.411076,-121.3193738,948060170
SOLC1,36.28052076,-121.3227063,8205291
KCYC1,36.26802087,-121.066303,8205487
BSRC1,36.24579648,-121.7732872,8189809
LGCC1,36.21472,-120.46972,14883269
LGAC1,36.16694,-120.20889,17150416
WARC1,36.09806,-120.44333,14883693
SCSC1,36.06111,-118.92194,17159700
TVRC1,36.02417,-118.8125,14930789
KKVC1,35.94528,-118.47667,14971709
DKCC1,35.94162,-118.82287,14934716
BRDC1,35.9302434,-120.8687915,8211251
LWDC1,35.89663404,-121.0882491,8210533
SNRC1,35.79667,-120.88556,8212925
NBYC1,35.78857918,-121.0938048,8209949
NASC1,35.76135678,-120.855458,8212787
NACC1,35.75583,-120.89111,8212941
KRVC1,35.75444,-118.42333,14972877
SKRC1,35.7375,-118.17278,14961097
ESRC1,35.71719096,-120.6401683,17647991
ISAC1,35.64667,-118.47889,24757076
PRBC1,35.6285813,-120.6843373,8212843
HSAC1,35.07778,-120.37083,17632432
CYBC1,35.0219213,-120.2284868,17633130
TWDC1,34.98361,-120.32083,17634908
MBRC1,34.90692668,-117.022818,22656105
GARC1,34.89386807,-120.3065463,17625349
SSQC1,34.83972,-120.16722,17625379
PYMC1,34.64472,-118.76305,17569485
NRWC1,34.63609474,-120.424606,948060325
SLUC1,34.5885957,-120.4084938,17609017
CCHC1,34.57917,-119.9775,17611491
MVVC1,34.57304916,-117.3206018,948090919
EFBC1,34.56278,-118.63277,17569985
LLYC1,34.54360358,-119.8648627,17611449
PCPC1,34.52304728,-118.7570362,17572335
CSKC1,34.52278,-118.61195,17572439
LKPC1,34.46139,-118.75056,17575859
SESC1,34.4416618,-118.9273212,17574345
SCPC1,34.40360813,-118.739258,17575785
VRVC1,34.35139,-119.30639,948070372
DKHC1,34.34305556,-117.2255556,22658309
MVDC1,34.3425,-117.235,22660039
WFMC1,34.33889,-117.25694,22660259
SVWC1,34.30417,-117.31805,22660171
BTJC1,34.29444,-118.18722,22515856
KNBC1,34.26695,-117.45917,22554638
CJKC1,34.26333333,-117.4661111,22554638
HANC1,34.26028,-118.38417,22515896
VCAC1,34.235,-119.21583,17573709
ASPC1,34.22222629,-118.1775727,22514774
CLLC1,34.17944444,-119.0388889,17562626
SRWC1,34.10834,-117.10059,22555926
YTLC1,34.07888889,-117.3047222,22557922
SREC1,34.065,-117.2994444,22557960
TIMC1,34.06138889,-117.2666667,22557960
MWXC1,33.96862566,-117.4483806,22563032
ADOC1,33.89056,-117.63639,22563416
TSLC1,33.88916667,-117.5619444,22560716
WWIC1,33.74944444,-116.4219444,22593529
PCNC1,33.74502178,-116.5355709,22593537
WTIC1,33.73722222,-116.2352778,22593695
DEPC1,33.63113647,-116.3922342,22592497
VLKC1,33.49556,-116.97583,22550583
MUTC1,33.47972222,-117.1430556,22549073
SMHC1,33.47388889,-117.1413889,22549075
TEKC1,33.45916667,-116.9227778,22549471
SHRC1,33.33278,-117.14972,20342485
YDRC1,33.3111436,-117.3472604,22548559
HAWC1,33.23861,-116.76167,20344473
SLOC1,33.21809119,-117.3603162,20342539
SUDC1,33.11806,-116.78667,20330934
ZNRC1,33.1047,-115.66361,22599619
HODC1,33.06639,-117.10583,20329198
SVIC1,32.91278,-116.92416,20334576
ELPC1,32.88222,-116.80695,20337546
SDGC1,32.84027778,-117.025,20331402
FSNC1,32.76504998,-117.1686449,20331516
BRTC1,32.68056,-116.66944,20326499
