Location,ID,Latitude,Longitude,River,ReachID
South Fork Humboldt River - Above Dixie Creek,DIXN2,40.685,-115.8125,South Fork Humboldt River,10750117
Deer Creek - Fountain Springs,DKCC1,35.94162,-118.82287,Deer Creek,14934716
Deep Creek - Hesperia,DKHC1,34.34111,-117.2275,Deep Creek,22658309
Dry Creek - Lemoncove,DLMC1,36.4475,-119.02722,Dry Creek,17152974
Sacramento River - Delta,DLTC1,40.93972,-122.41611,Sacramento River,7966063
Dry Creek - Merle Collins Lake,DMCC1,39.3375,-121.32723,Dry Creek,8062635
Donner Creek - Donner Lake,DNRC1,39.325,-120.28139,Donner Creek,8933876
Middle Fork Eeel River - Dos Rios,DOSC1,39.70639,-123.32417,Middle Fork Eeel River,8259207
Dry Creek - Snelling,DSNC1,37.555,-120.46333,Dry Creek,2824270
Arroyo Valle - Del Valle Reservoir,DVAC1,37.61389,-121.745,Arroyo Valle,2808647
Big Grizzly Creek - Lake Davis,DVSC1,39.88389,-120.47528,Big Grizzly Creek,8041953
Elder Creek - Paskenta,EDCC1,40.02472,-122.50861,Elder Creek,12068798
North Fork Cosumnes River - El Dorado,EDOC1,38.58889,-120.84389,North Fork Cosumnes River,20195536
Castaic Creek - Elderberry Forebay,EFBC1,34.56278,-118.63277,Castaic Creek,17569985
San Diego River - El Capitan Reservoir,ELPC1,32.88222,-116.80695,San Diego River,20337546
Little Stony Creek - East Park Reservoir,EPRC1,39.35917,-122.51778,Little Stony Creek,7996179
Estrella River - Estrella,ESRC1,35.71722,-120.63917,Estrella River,17647991
East Walker River - Strosnider Ditch,EWSN2,38.81361,-119.04806,East Walker River,946050110
Merced River - Exchequer Reservoir,EXQC1,37.585,-120.26722,Merced River,21608661
Truckee River - Farad,FARC1,39.42806,-120.03306,Truckee River,8933532
Little Last Chance Creek - Frenchman Lake,FHDC1,39.89389,-120.19028,Little Last Chance Creek,8042001
Middle Fork American River - French Meadows Reservoir,FMDC1,39.11028,-120.43056,Middle Fork American River,14993579
Sacramento River - Fremont Weir,FMWC1,38.76694,-121.66694,Sacramento River,2858219
Fordyce Creek - Fordyce Lake,FOCC1,39.37889,-120.49445,Fordyce Creek,8064693
American River - Folsom Lake,FOLC1,38.7,-121.16694,American River,15022453
San Joaquin River - Millerton Lake,FRAC1,36.995,-119.69167,San Joaquin River,17116483
Littlejohns Creek - Farmington Reservoir,FRGC1,37.915,-120.935,Littlejohns Creek,2822872
Eel River - Fernbridge,FRNC1,40.61583,-124.20167,Eel River,2702743
San Diego River - Fashion Valley,FSNC1,32.765,-117.16778,San Diego River,20331516
Carson River - Fort Churchill,FTCN2,39.29167,-119.31111,Carson River,11432099
Smith River - Doctor Fine Bridge,FTDC1,41.88083,-124.13528,Smith River,22227058
Scott River - Fort Jones,FTJC1,41.64083,-123.01389,Scott River,3798909
Eel River - Fort Seward,FTSC1,40.21806,-123.63167,Eel River,2706571
Sisquoc River - Garey,GARC1,34.89389,-120.30556,Sisquoc River,17625349
Miller Creek - Gerber Reservoir,GERO3,42.20111,-121.13028,Miller Creek,2553671
Russian River - Russian River - Geyserville,GEYC1,38.71111,-122.89222,Russian River,8272107
East Fork Carson River - Gardnerville,GRDN2,38.84722,-119.70278,East Fork Carson River,8922339
Guadalupe Creek - Guadalupe Reservoir,GUAC1,37.19917,-121.87833,Guadalupe Creek,17695787
Guadalupe River - San Jose - Almaden Exprwy,GUDC1,37.28083,-121.88,Guadalupe River,17694255
Russian River - Guerneville,GUEC1,38.49944,-122.99722,Russian River,8273703
North Fork Yuba River - Goodyears Bar,GYRC1,39.525,-120.93694,North Fork Yuba River,8058609
Sacramento River - Hamilton City,HAMC1,39.75139,-121.99722,Sacramento River,12074734
Tujunga Wash - Hansen Dam,HANC1,34.26028,-118.38417,Tujunga Wash,22515896
Indian Creek - Happy Camp,HAPC1,41.83528,-123.38194,Indian Creek,4440524
San Luis Rey River - Lake Henshaw,HAWC1,33.23861,-116.76167,San Luis Rey River,20344473
Humboldt River - Battle Mountain,HBMN2,40.66667,-116.93056,Humboldt River,11206996
Bear Creek - Holsten Chimney Canyon,HCHC1,38.95556,-122.34167,Bear Creek,8009213
Russian River - Healdsburg,HEAC1,38.61333,-122.83528,Russian River,8272379
Tuolumne River - Hetch Hetchy Reservoir,HETC1,37.94778,-119.78694,Tuolumne River,17082207
Fresno River - Hensley Lake,HIDC1,37.10167,-119.88,Fresno River,17100573
Big Chico Creek - Chico,HKCC1,39.76806,-121.77694,Big Chico Creek,12076092
Yuba River - Englebright Lake,HLEC1,39.23944,-121.26667,Yuba River,8062555
Rubicon River - Hell Hole Reservoir,HLLC1,39.07167,-120.42167,Rubicon River,14993709
San Dieguito River - Lake Hodges,HODC1,33.06639,-117.10583,San Dieguito River,20329198
Trinity River - Hoopa,HOOC1,41.05,-123.6725,Trinity River,8241662
Russian River - Hopland,HOPC1,39.02667,-123.12944,Russian River,8269119
San Benito River - Hospital Rd Br Nr Hollister,HOSC1,36.81675,-121.39268,San Benito River,17663521
North Fork Cache Creek - Hough Springs,HOUC1,39.16556,-122.61889,North Fork Cache Creek,8005975
West Walker River - Hoye Bridge,HOYN2,38.72806,-119.42778,West Walker River,10742328
Merced River - Yosemite NP at Happy Isles,HPIC1,37.73167,-119.55778,Merced River,21609533
