STA,StationName,Elevation,Latitude,Longitude,NearbyCity,HydroNo,BasinNo,Owner,Maintenance,Operator,MapNo,CollectNo,CountyName,BasinName,AgencyName,HydroArea,Sensors
GRM,GREEN MOUNTAIN,7900,37.54959869,-119.2325592,MAMMOTH LAKES,6,9001,50,702,50,999,0,MADERA,SAN JOAQUIN RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,9,10,12,14,16,18,30,31,32,45,82,246,247"
GRV,GRAVEYARD MEADOW,6900,37.46343994,-119.2928925,CEDAR CREST,6,9001,50,702,50,999,0,MADERA,SAN JOAQUIN RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82"
GRZ,GRIZZLY RIDGE,6900,39.917,-120.645,QUINCY,5,7301,999,703,703,14,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,"2,3,4,14,18,30,31,32,45,82,237,238"
HGM,HAGANS MEADOW,8000,38.853,-119.94,SOUTH LAKE TAHOE,8,10601,54,54,54,19,0,EL DORADO,LAKE TAHOE,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
HHM,HIGHLAND MEADOW,8700,38.49066162,-119.8056259,BEAR VALLEY,6,8301,702,702,702,999,0,ALPINE,MOKELUMNE RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"2,3,4,9,10,12,14,17,18,30,31,32,45,82,103,104,105,194,195,196,197,198,199,246,247"
HIG,HIGHLAND LAKES,6030,41.09178162,-122.4915619,GIBSON,1,901,50,702,50,999,0,TRINITY,TRINITY RIVER,US Bureau of Reclamation,NORTH COAST,"2,3,4,12,14,16,18,45,82"
HMB,HUMBUG,6500,40.115,-121.368,BELDON,5,7301,709,709,709,9,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/O&M Oroville Field Division,SACRAMENTO RIVER,"2,3,14,45,73,82"
HNT,HUNTINGTON LAKE (USBR),7000,37.22756958,-119.2204819,LAKESHORE,6,9001,50,702,50,999,0,FRESNO,SAN JOAQUIN RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,6,9,10,12,14,15,16,18,30,31,32,45,82,203,246,247"
HOR,HORSE MEADOW (NRCS),8557,38.8365,-119.8873,SORENSENS,8,10701,54,54,54,19,0,ALPINE,CARSON RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,82"
HRK,HARKNESS FLAT,6200,40.418,-121.275,CHESTER,5,7301,701,701,703,9,0,LASSEN,FEATHER RIVER,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,"3,4,12,14,18,82,103,104,105"
HRS,HORSE MEADOW,8400,38.158,-119.662,PINECREST,6,8601,702,702,702,19,0,TUOLUMNE,TUOLUMNE RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"3,4,12,14,18,30,31,32,82"
HVN,HEAVENLY VALLEY,8800,38.929,-119.917,WOODFORDS,8,10601,54,54,54,19,0,EL DORADO,LAKE TAHOE,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
HYS,HUYSINK,6600,39.28142166,-120.5296326,CISCO,5,7701,50,702,50,999,0,PLACER,AMERICAN RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,14,16,18,30,31,32,45,82"
IDC,INDEPENDENCE CAMP,7000,39.452588,-120.298548,TRUCKEE,8,10501,54,54,54,13,0,SIERRA,TRUCKEE RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
IDP,INDEPENDENCE LAKE (SCS),8450,39.435,-120.322,TRUCKEE,8,10501,54,54,54,14,0,NEVADA,TRUCKEE RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
INN,INDEPENDENCE CREEK,6500,39.494,-120.293,TRUCKEE,8,10501,54,54,54,14,0,SIERRA,TRUCKEE RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
KIB,LOWER KIBBIE RIDGE,6700,38.033024,-119.879245,MATHER,6,8601,702,702,702,0,0,TUOLUMNE,TUOLUMNE RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"3,4,9,10,12,14,18,30,31,32,82,246,247"
KSP,KAISER POINT,9200,37.29817963,-119.1033707,LAKESHORE,6,9001,50,702,50,999,0,FRESNO,SAN JOAQUIN RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82"
KTL,KETTLE ROCK,7300,40.14,-120.715,GREENVILLE,5,7301,703,703,703,10,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,"2,3,4,14,18,30,31,32,45,82"
KUB,UPPER BULL,8073,36.9669,-119.0566,SHAVER LAKE,7,9401,91,91,91,0,2,FRESNO,KINGS RIVER,Kings River Water Association,TULARE LAKE,"2,3,4,9,10,12,14,16,18,30,31,32,77,78,82,115,147,245,246,247"
KUP,UPPER PROVIDENCE,5611,37.061,-119.183,SHAVER LAKE,7,9401,999,91,91,0,2,FRESNO,KINGS RIVER,Kings River Water Association,TULARE LAKE,"2,3,4,9,10,12,14,16,18,30,31,32,77,78,82,115,147,245,246,247"
LBD,LOBDELL LAKE,9200,38.44,-119.377,BRIDGEPORT,8,10801,54,54,54,19,0,MONO,WALKER RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
LLP,LOWER LASSEN PEAK,8338,40.46660233,-121.50811,MINERAL,5,7301,702,702,702,999,0,SHASTA,FEATHER RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SACRAMENTO RIVER,"3,4,9,10,12,14,16,18,26,30,31,32,77,78,82,96,97,98,99,103,104,105,106,107,108,115,147"
LOS,LAKE LOIS,8600,38.92103577,-120.2044449,SOUTH LAKE TAHOE,5,7701,702,702,702,999,0,EL DORADO,AMERICAN RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SACRAMENTO RIVER,"3,4,9,10,12,14,18,30,31,32,77,78,82,103,104,105,106,107,108"
LVM,LEAVITT MEADOWS,7200,38.305,-119.552,BRIDGEPORT,8,10801,54,54,54,19,0,MONO,WALKER RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
LVT,LEAVITT LAKE,9600,38.282,-119.621,DARDANELLE,8,10801,54,54,54,19,0,MONO,WALKER RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,45,82"
