Location,ID,Latitude,Longitude,River
Yuba River - Englebright Lake,HLEC1,39.23944,-121.26667,Yuba River
Rubicon River - Hell Hole Reservoir,HLLC1,39.07167,-120.42167,Rubicon River
San Dieguito River - Lake Hodges,HODC1,33.06639,-117.10583,San Dieguito River
Trinity River - Hoopa,HOOC1,41.05,-123.6725,Trinity River
Russian River - Hopland,HOPC1,39.02667,-123.12944,Russian River
San Benito River - Hospital Rd Br Nr Hollister,HOSC1,36.81675,-121.39268,San Benito River
North Fork Cache Creek - Hough Springs,HOUC1,39.16556,-122.61889,North Fork Cache Creek
West Walker River - Hoye Bridge,HOYN2,38.72806,-119.42778,West Walker River
Merced River - Yosemite NP at Happy Isles,HPIC1,37.73167,-119.55778,Merced River
Humboldt River - Carlin,HRCN2,40.72778,-116.00833,Humboldt River
Humboldt River - Elko,HREN2,40.93611,-115.62361,Humboldt River
Humboldt River - Imlay,HRIN2,40.69167,-118.20278,Humboldt River
Huasna River - Arroyo Grande,HSAC1,35.07778,-120.37083,Huasna River
South Fork Trinity River - Hyampom,HYMC1,40.65,-123.49306,South Fork Trinity River
South Fork Silver Creek - Ice House Reservoir,ICHC1,38.82389,-120.36,South Fork Silver Creek
Indian Creek - Indian Falls,IIFC1,40.05611,-120.96194,Indian Creek
Independence Creek - Independence Lake,ILAC1,39.45194,-120.28972,Independence Creek
North Fork Cache Creek - Indian Valley Reservoir,INVC1,39.08,-122.53361,North Fork Cache Creek
Klamath River - Iron Gate,IRGC1,41.92806,-122.44306,Klamath River
Kern River - Lake Isabella,ISAC1,35.64667,-118.47889,Kern River
Middle Yuba River - Jackson Meadows Reservoir,JKRC1,39.50917,-120.55222,Middle Yuba River
South Fork Yuba River - Jones Bar,JNSC1,39.29222,-121.10361,South Fork Yuba River
Kelsey Creek - Kelseyville,KCVC1,38.9275,-122.8425,Kelsey Creek
San Lorenzo Creek - King City,KCYC1,36.26806,-121.06528,San Lorenzo Creek
Klamath River - Keno,KEOO3,42.13333,-121.96111,Klamath River
South Fork Kings River - Above Boyden Cavern,KGPC1,36.80889,-118.77805,South Fork Kings River
Kern River - Fairview Dam,KKVC1,35.94528,-118.47667,Kern River
Upper Klamath Lake - Klamath Falls,KLAO3,42.25,-121.81528,Upper Klamath Lake
